Driver,LapTime,Compound,Sector1Time,Sector2Time,Sector3Time,Track
LEC,,SOFT,,35.396,46.181,Las Vegas
LEC,94.898,SOFT,27.111,31.481,36.306,Las Vegas
LEC,123.812,SOFT,35.688,39.25,48.874,Las Vegas
LEC,94.072,SOFT,26.743,31.193,36.136,Las Vegas
LEC,128.618,SOFT,39.095,39.481,50.042,Las Vegas
LEC,126.63,SOFT,41.902,41.743,42.985,Las Vegas
LEC,93.617,SOFT,26.578,31.046,35.993,Las Vegas
LEC,121.506,SOFT,33.676,39.258,48.572,Las Vegas
LEC,,SOFT,,37.183,43.689,Las Vegas
LEC,93.966,SOFT,26.757,31.041,36.168,Las Vegas
LEC,124.409,SOFT,32.491,41.381,50.537,Las Vegas
LEC,135.697,SOFT,54.235,35.989,45.473,Las Vegas
LEC,92.834,SOFT,26.295,30.684,35.855,Las Vegas
LEC,122.372,SOFT,34.888,39.776,47.708,Las Vegas
LEC,124.149,SOFT,36.167,43.346,44.636,Las Vegas
LEC,92.775,SOFT,26.255,30.647,35.873,Las Vegas
LEC,118.568,SOFT,32.283,37.988,48.297,Las Vegas
LEC,,SOFT,,34.202,39.463,Las Vegas
LEC,93.021,SOFT,26.079,31.075,35.867,Las Vegas
LEC,115.451,SOFT,31.384,36.844,47.223,Las Vegas
LEC,,SOFT,,34.689,39.765,Las Vegas
LEC,92.726,SOFT,26.224,30.652,35.85,Las Vegas
LEC,133.802,SOFT,34.301,38.326,61.175,Las Vegas
SAI,,SOFT,,38.448,43.254,Las Vegas
SAI,96.352,SOFT,27.711,32.163,36.478,Las Vegas
SAI,121.727,SOFT,41.091,39.294,41.342,Las Vegas
SAI,94.787,SOFT,26.985,31.465,36.337,Las Vegas
SAI,131.718,SOFT,38.206,43.964,49.548,Las Vegas
SAI,123.49,SOFT,40.934,36.845,45.711,Las Vegas
SAI,93.851,SOFT,26.56,31.248,36.043,Las Vegas
SAI,125.602,SOFT,35.232,40.943,49.427,Las Vegas
SAI,,SOFT,,36.845,40.272,Las Vegas
SAI,94.146,SOFT,26.774,31.241,36.131,Las Vegas
SAI,119.722,SOFT,34.05,39.648,46.024,Las Vegas
SAI,,SOFT,82.058,34.996,49.782,Las Vegas
SAI,93.338,SOFT,26.458,31.023,35.857,Las Vegas
SAI,127.422,SOFT,34.402,44.106,48.914,Las Vegas
SAI,124.169,SOFT,36.65,42.665,44.854,Las Vegas
SAI,103.025,SOFT,26.375,32.887,43.763,Las Vegas
SAI,,SOFT,,35.486,40.285,Las Vegas
SAI,93.043,SOFT,26.27,31.033,35.74,Las Vegas
SAI,119.247,SOFT,33.807,38.926,46.514,Las Vegas
SAI,,SOFT,,39.777,42.466,Las Vegas
SAI,114.536,SOFT,27.893,45.254,41.389,Las Vegas
SAI,92.77,SOFT,26.157,30.772,35.841,Las Vegas
SAI,133.964,SOFT,36.03,40.213,57.721,Las Vegas
VER,,SOFT,,33.529,40.468,Las Vegas
VER,94.987,SOFT,27.083,31.542,36.362,Las Vegas
VER,129.381,SOFT,38.446,40.157,50.778,Las Vegas
VER,130.706,SOFT,37.42,40.975,52.311,Las Vegas
VER,94.19,SOFT,26.782,31.212,36.196,Las Vegas
VER,128.074,SOFT,38.637,40.149,49.288,Las Vegas
VER,125.476,SOFT,35.08,40.517,49.879,Las Vegas
VER,119.45,SOFT,35.086,35.6,48.764,Las Vegas
VER,,SOFT,,33.53,43.895,Las Vegas
VER,93.607,SOFT,26.624,30.994,35.989,Las Vegas
VER,128.856,SOFT,37.866,41.472,49.518,Las Vegas
VER,133.137,SOFT,41.561,36.103,55.473,Las Vegas
VER,93.572,SOFT,26.603,31.011,35.958,Las Vegas
VER,117.727,SOFT,31.393,36.387,49.947,Las Vegas
VER,,SOFT,,32.966,43.622,Las Vegas
VER,93.104,SOFT,26.289,30.828,35.987,Las Vegas
VER,111.029,SOFT,30.641,34.736,45.652,Las Vegas
VER,,SOFT,,35.315,38.498,Las Vegas
VER,108.748,SOFT,26.325,31.443,50.98,Las Vegas
RUS,,SOFT,,38.177,45.074,Las Vegas
RUS,124.147,SOFT,33.528,40.914,49.705,Las Vegas
RUS,106.859,SOFT,27.15,38.4,41.309,Las Vegas
RUS,94.726,SOFT,26.911,31.7,36.115,Las Vegas
RUS,135.865,SOFT,39.622,49.421,46.822,Las Vegas
RUS,119.869,SOFT,37.017,38.721,44.131,Las Vegas
RUS,94.137,SOFT,26.885,31.491,35.761,Las Vegas
RUS,130.227,SOFT,33.986,40.449,55.792,Las Vegas
RUS,,SOFT,,35.762,41.238,Las Vegas
RUS,108.502,SOFT,32.096,37.327,39.079,Las Vegas
RUS,93.87,SOFT,26.733,31.214,35.923,Las Vegas
RUS,128.177,SOFT,38.671,44.476,45.03,Las Vegas
RUS,120.206,SOFT,36.735,42.979,40.492,Las Vegas
RUS,93.351,SOFT,26.44,31.057,35.854,Las Vegas
RUS,128.42,SOFT,36.424,40.091,51.905,Las Vegas
RUS,,SOFT,,41.267,41.522,Las Vegas
RUS,110.515,SOFT,32.921,36.943,40.651,Las Vegas
RUS,93.567,SOFT,26.523,31.002,36.042,Las Vegas
RUS,126.611,SOFT,38.474,44.533,43.604,Las Vegas
RUS,124.377,SOFT,37.999,43.892,42.486,Las Vegas
RUS,93.112,SOFT,26.364,30.99,35.758,Las Vegas
RUS,,SOFT,35.642,43.022,,Las Vegas
GAS,,SOFT,,35.261,40.017,Las Vegas
GAS,103.951,SOFT,29.367,33.724,40.86,Las Vegas
GAS,95.784,SOFT,27.324,32.097,36.363,Las Vegas
GAS,110.603,SOFT,31.086,34.408,45.109,Las Vegas
GAS,,SOFT,,35.064,39.469,Las Vegas
GAS,107.764,SOFT,29.869,34.34,43.555,Las Vegas
GAS,94.272,SOFT,27.027,31.32,35.925,Las Vegas
GAS,131.989,SOFT,39.038,40.443,52.508,Las Vegas
GAS,97.394,SOFT,27.465,31.569,38.36,Las Vegas
GAS,123.409,SOFT,34.016,37.709,51.684,Las Vegas
GAS,,SOFT,,36.918,43.992,Las Vegas
GAS,102.842,SOFT,30.171,33.732,38.939,Las Vegas
GAS,94.278,SOFT,26.795,31.326,36.157,Las Vegas
GAS,112.318,SOFT,30.946,35.851,45.521,Las Vegas
GAS,,SOFT,,35.506,40.148,Las Vegas
GAS,109.586,SOFT,30.47,34.837,44.279,Las Vegas
GAS,93.494,SOFT,26.66,31.084,35.75,Las Vegas
GAS,121.268,SOFT,32.739,37.702,50.827,Las Vegas
GAS,,SOFT,,33.614,41.113,Las Vegas
GAS,93.767,SOFT,26.797,31.041,35.929,Las Vegas
GAS,117.718,SOFT,32.868,36.398,48.452,Las Vegas
GAS,,SOFT,,35.78,39.748,Las Vegas
GAS,106.952,SOFT,31.026,35.557,40.369,Las Vegas
GAS,93.239,SOFT,26.415,31.019,35.805,Las Vegas
GAS,,SOFT,34.08,40.265,,Las Vegas
ALB,,SOFT,,39.749,39.143,Las Vegas
ALB,115.896,SOFT,35.979,40.331,39.586,Las Vegas
ALB,95.025,SOFT,27.141,31.677,36.207,Las Vegas
ALB,129.395,SOFT,40.91,47.716,40.769,Las Vegas
ALB,94.726,SOFT,26.927,31.607,36.192,Las Vegas
ALB,135.086,SOFT,43.818,46.541,44.727,Las Vegas
ALB,94.634,SOFT,26.972,31.625,36.037,Las Vegas
ALB,115.676,SOFT,33.825,35.66,46.191,Las Vegas
ALB,,SOFT,,38.944,39.907,Las Vegas
ALB,118.593,SOFT,34.184,41.732,42.677,Las Vegas
ALB,94.26,SOFT,27.014,31.331,35.915,Las Vegas
ALB,113.366,SOFT,31.35,36.207,45.809,Las Vegas
ALB,,SOFT,,39.136,41.326,Las Vegas
ALB,113.646,SOFT,32.512,38.744,42.39,Las Vegas
ALB,93.588,SOFT,26.576,31.285,35.727,Las Vegas
ALB,119.518,SOFT,32.967,37.257,49.294,Las Vegas
ALB,,SOFT,,32.181,43.81,Las Vegas
ALB,,SOFT,,41.309,42.538,Las Vegas
ALB,122.064,SOFT,34.049,44.773,43.242,Las Vegas
ALB,93.323,SOFT,26.576,31.008,35.739,Las Vegas
ALB,,SOFT,33.026,43.07,,Las Vegas
SAR,,SOFT,,38.014,38.938,Las Vegas
SAR,113.399,SOFT,36.026,38.575,38.798,Las Vegas
SAR,95.061,SOFT,27.246,31.599,36.216,Las Vegas
SAR,114.829,SOFT,34.203,34.063,46.563,Las Vegas
SAR,,SOFT,93.749,41.375,42.183,Las Vegas
SAR,111.041,SOFT,33.438,36.944,40.659,Las Vegas
SAR,94.525,SOFT,26.936,31.499,36.09,Las Vegas
SAR,121.885,SOFT,36.453,45.619,39.813,Las Vegas
SAR,94.891,SOFT,26.943,31.798,36.15,Las Vegas
SAR,115.907,SOFT,31.947,36.384,47.576,Las Vegas
SAR,,SOFT,,37.799,39.829,Las Vegas
SAR,109.572,SOFT,34.943,36.176,38.453,Las Vegas
SAR,94.372,SOFT,26.927,31.46,35.985,Las Vegas
